id	rate
1000	3164
1001	1500
1003	2765
1005	2243
1007	1594
1009	1671
1011	1596
1013	2029
1015	1539
1017	1503
1019	1267
1021	1793
1023	2332
1025	2653
1027	1530
1029	1292
1031	1763
1033	1495
1035	2166
1037	1696
1039	2504
1041	1551
1043	1940
1045	1297
1047	2439
1049	2030
1051	1584
1053	2398
1055	1193
1057	1611
1059	1636
1061	1410
1063	1682
1065	1667
1067	1303
1069	1444
1071	2555
1073	2578
1075	1537
1077	1736
1079	1789
1081	1546
1083	1291
1085	1879
1087	1553
1089	2086
1091	2436
1093	1957
1095	1334
1097	2648
1099	2499
1101	2042
1103	1440
1105	1899
1107	2238
1109	1745
1111	1448
1113	1661
1115	1629
1117	2044
1119	2310
1121	1945
1123	1884
1125	2695
1127	2058
1129	2556
1131	2250
1133	1566
2000	3193
2013	3105
2016	3043
2020	2794
2050	3156
2060	1081
2068	3135
2070	3141
2090	3107
2100	2907
2105	3109
2110	2956
2122	3137
2130	3065
2150	3097
2164	3145
2170	3147
2180	3144
2185	3182
2188	3152
2195	2991
2198	3021
2220	2965
2230	883
2240	3148
2261	3151
2270	3138
2275	2932
2282	3110
2290	3189
4000	3187
4001	3134
4003	3091
4005	3142
4007	3058
4009	3054
4011	2828
4012	3047
4013	3124
4015	3136
4017	3129
4019	3123
4021	3078
4023	2652
4025	3116
4027	3082
5000	3165
5001	2450
5003	2361
5005	1268
5007	2161
5009	1486
5011	1695
5013	1615
5015	1621
5017	1670
5019	2194
5021	1658
5023	1265
5025	1510
5027	2010
5029	1255
5031	1841
5033	1498
5035	1556
5037	1573
5039	1735
5041	2015
5043	2128
5045	1687
5047	1552
5049	1582
5051	1759
5053	1627
5055	1435
5057	1926
5059	1570
5061	1480
5063	2003
5065	1449
5067	1637
5069	2210
5071	1722
5073	1164
5075	1476
5077	1524
5079	1300
5081	1184
5083	1843
5085	2020
5087	2137
5089	1504
5091	1605
5093	2297
5095	1543
5097	2037
5099	1579
5101	2113
5103	1936
5105	1249
5107	1806
5109	1518
5111	1987
5113	2176
5115	2104
5117	1688
5119	1994
5121	1699
5123	1639
5125	1915
5127	2261
5129	1733
5131	1180
5133	1327
5135	1534
5137	1540
5139	2512
5141	1844
5143	2391
5145	2506
5147	1472
5149	2372
6000	3191
6001	1950
6003	1948
6005	1501
6007	2776
6009	2495
6011	2610
6013	1880
6015	2472
6017	2795
6019	3087
6021	2692
6023	3005
6025	3035
6027	3131
6029	3117
6031	2710
6033	2663
6035	3050
6037	3030
6039	2887
6041	1142
6043	2732
6045	3004
6047	2853
6049	3020
6051	2977
6053	2990
6055	1968
6057	2413
6059	2056
6061	2719
6063	2933
6065	3106
6067	2418
6069	2708
6071	3143
6073	3037
6075	39
6077	2712
6079	2994
6081	866
6083	2957
6085	2682
6087	858
6089	3014
6091	2410
6093	3094
6095	2114
6097	2761
6099	2744
6101	1523
6103	2971
6105	2985
6107	3062
6109	2893
6111	2829
6113	2485
6115	1628
8000	3185
8001	2619
8003	1912
8005	2074
8007	2702
8009	2934
8011	2753
8013	1923
8014	32
8015	2483
8017	2812
8019	597
8021	2681
8023	2646
8025	2049
8027	1949
8029	2603
8031	90
8033	2541
8035	2151
8037	2788
8039	2832
8041	2886
8043	2755
8045	2970
8047	83
8049	2830
8051	2988
8053	2581
8055	2767
8057	2770
8059	2004
8061	2810
8063	2889
8065	533
8067	2789
8069	2942
8071	3060
8073	2939
8075	2827
8077	2995
8079	2222
8081	3057
8083	2866
8085	2898
8087	2676
8089	2668
8091	1216
8093	2890
8095	1782
8097	2426
8099	2777
8101	2916
8103	2987
8105	2328
8107	2912
8109	2984
8111	569
8113	2680
8115	1240
8117	1550
8119	1280
8121	2930
8123	3026
8125	2913
9000	3064
9001	1603
9003	1943
9005	2351
9007	513
9009	1536
9011	1731
9013	683
9015	1115
10000	2854
10001	1469
10003	763
10005	2384
11000	46
11001	47
12000	3166
12001	2219
12003	1465
12005	1988
12007	327
12009	2488
12011	2638
12013	1341
12015	1764
12017	1453
12019	1533
12021	2859
12023	2072
12027	1648
12029	1832
12031	1999
12033	1711
12035	1007
12037	1191
12039	1128
12041	464
12043	2093
12045	1319
12047	1119
12049	1651
12051	2611
12053	962
12055	2490
12057	2496
12059	984
12061	1078
12063	2345
12065	1511
12067	1226
12069	2388
12071	2043
12073	1734
12075	2583
12077	2141
12079	1807
12081	1959
12083	2762
12085	1227
12086	2843
12087	2446
12089	1691
12091	2373
12093	2017
12095	2308
12097	2697
12099	2856
12101	1963
12103	287
12105	2818
12107	1927
12109	1519
12111	1388
12113	2478
12115	1276
12117	360
12119	1237
12121	1785
12123	2518
12125	222
12127	2569
12129	1541
12131	2509
12133	1457
13000	3171
13001	1097
13003	432
13005	257
13007	443
13009	255
13011	198
13013	95
13015	916
13017	233
13019	879
13021	232
13023	172
13025	848
13027	1037
13029	822
13031	1747
13033	2124
13035	123
13037	298
13039	1567
13043	221
13045	1059
13047	98
13049	2024
13051	765
13053	227
13055	368
13057	743
13059	67
13061	142
13063	78
13065	2082
13067	433
13069	1415
13071	1229
13073	323
13075	187
13077	842
13079	396
13081	284
13083	111
13085	164
13087	1505
13089	278
13091	1045
13093	579
13095	403
13097	150
13099	1114
13101	707
13103	982
13105	466
13107	1766
13109	119
13111	565
13113	138
13115	1106
13117	184
13119	262
13121	1158
13123	766
13125	80
13127	731
13129	476
13131	890
13133	568
13135	782
13137	290
13139	583
13141	960
13143	305
13145	928
13147	199
13149	331
13151	391
13153	527
13155	471
13157	434
13159	507
13161	410
13163	1157
13165	459
13167	342
13169	590
13171	120
13173	125
13175	2095
13177	474
13179	1016
13181	163
13183	620
13185	1046
13187	308
13189	254
13191	759
13193	623
13195	306
13197	504
13199	1069
13201	307
13205	1112
13207	598
13209	214
13211	460
13213	450
13215	174
13217	283
13219	122
13221	836
13223	364
13225	84
13227	197
13229	376
13231	173
13233	361
13235	231
13237	451
13239	85
13241	515
13243	773
13245	395
13247	72
13249	103
13251	1672
13253	208
13255	144
13257	115
13259	912
13261	997
13263	577
13265	139
13267	988
13269	532
13271	830
13273	420
13275	1230
13277	258
13279	501
13281	102
13283	149
13285	703
13287	313
13289	486
13291	389
13293	393
13295	861
13297	397
13299	2262
13301	310
13303	1762
13305	1662
13307	160
13309	329
13311	217
13313	324
13315	535
13317	951
13319	864
13321	1374
15000	3096
15001	3029
15003	1520
15005	20
15007	1590
15009	2615
16000	3181
16001	2527
16003	2706
16005	2579
16007	2433
16009	2028
16011	2879
16013	2949
16015	2844
16017	2802
16019	2836
16021	2669
16023	2896
16025	2550
16027	1474
16029	2807
16031	2937
16033	2808
16035	2925
16037	3067
16039	2979
16041	1729
16043	2834
16045	1294
16047	1928
16049	3119
16051	2561
16053	1507
16055	2658
16057	2554
16059	3052
16061	986
16063	2636
16065	949
16067	1984
16069	2163
16071	2635
16073	3111
16075	656
16077	2717
16079	2945
16081	871
16083	2849
16085	3009
16087	2734
17000	3168
17001	2170
17003	209
17005	543
17007	300
17009	348
17011	2204
17013	247
17015	857
17017	528
17019	2458
17021	1851
17023	1071
17025	945
17027	971
17029	1103
17031	2399
17033	852
17035	456
17037	1623
17039	608
17041	722
17043	399
17045	1598
17047	181
17049	985
17051	1883
17053	1008
17055	675
17057	2193
17059	392
17061	1225
17063	724
17065	812
17067	2065
17069	113
17071	538
17073	2117
17075	2582
17077	1462
17079	1039
17081	1381
17083	512
17085	1522
17087	447
17089	1140
17091	1758
17093	385
17095	1882
17097	854
17099	2596
17101	518
17103	1920
17105	2520
17107	1581
17109	1484
17111	1527
17113	2629
17115	1451
17117	2189
17119	1875
17121	1391
17123	566
17125	1205
17127	211
17129	371
17131	1299
17133	561
17135	1827
17137	1350
17139	423
17141	1990
17143	1588
17145	845
17147	837
17149	2134
17151	510
17153	148
17155	93
17157	1421
17159	491
17161	770
17163	1717
17165	542
17167	2201
17169	828
17171	236
17173	1989
17175	319
17177	1323
17179	1694
17181	699
17183	2282
17185	182
17187	1221
17189	1306
17191	1866
17193	1040
17195	1774
17197	2146
17199	733
17201	1116
17203	1162
18000	3153
18001	431
18003	1715
18005	658
18007	652
18009	100
18011	746
18013	363
18015	519
18017	692
18019	521
18021	481
18023	645
18025	349
18027	778
18029	344
18031	520
18033	499
18035	580
18037	769
18039	926
18041	171
18043	82
18045	599
18047	557
18049	509
