id	rate
6071	52
4003	46
4005	39
4013	37
4015	36
6037	36
2290	34
32007	34
4019	31
15001	31
56029	31
56033	31
23003	30
49037	30
6027	29
6073	29
41039	29
41045	29
56013	29
4001	28
4025	28
16019	28
35045	28
49027	28
2122	27
2170	27
8123	27
25027	27
32013	27
41025	27
6019	26
12021	26
4007	25
4017	25
56007	25
8077	24
49017	24
33007	23
56039	23
6065	22
8093	22
41037	22
49045	22
54099	22
4009	21
6029	21
6093	21
6107	21
49023	21
4021	20
32003	20
35006	20
35057	20
41019	20
48043	20
2261	19
16037	19
23029	19
30049	19
32031	19
35003	19
35007	19
49021	19
49049	19
49053	19
56023	19
56037	19
25005	18
30031	18
35039	18
35053	18
41023	18
2020	17
2164	17
6083	17
8041	17
15009	17
20177	17
23019	17
30013	17
30075	17
31111	17
32023	17
48157	17
48439	17
49035	17
49047	17
53073	17
56011	17
4027	16
9003	16
17019	16
20139	16
20181	16
26033	16
30053	16
30087	16
36089	16
41033	16
48065	16
49005	16
8067	15
8085	15
8101	15
23025	15
35031	15
35037	15
35049	15
41001	15
41035	15
48061	15
48431	15
6047	14
6089	14
8059	14
12086	14
16059	14
32019	14
35005	14
35015	14
36103	14
38055	14
41059	14
48191	14
56001	14
56019	14
56043	14
6067	13
8011	13
8045	13
8051	13
8065	13
8081	13
12115	13
16049	13
27031	13
27137	13
30003	13
33015	13
35061	13
42091	13
46103	13
48279	13
48451	13
49015	13
56017	13
56021	13
8083	12
12015	12
12069	12
22023	12
26029	12
26103	12
30057	12
31013	12
31033	12
31041	12
31063	12
32005	12
33009	12
35017	12
35027	12
35047	12
41029	12
41051	12
41063	12
42079	12
45045	12
48079	12
48321	12
55079	12
2090	11
6057	11
8009	11
9011	11
12099	11
15003	11
16083	11
17031	11
20071	11
20153	11
22115	11
23005	11
23007	11
23011	11
25001	11
25023	11
26163	11
27163	11
30017	11
30029	11
30045	11
30055	11
30063	11
35013	11
35025	11
35059	11
48111	11
48371	11
48399	11
48453	11
48465	11
53039	11
55023	11
55031	11
55055	11
55113	11
56005	11
4012	10
5017	10
6001	10
6007	10
6049	10
8063	10
8069	10
8125	10
12011	10
12087	10
15007	10
16039	10
16043	10
17001	10
19061	10
20025	10
20087	10
20109	10
20137	10
20167	10
24001	10
26021	10
29229	10
30011	10
30047	10
30071	10
31007	10
32017	10
32027	10
35011	10
35055	10
37087	10
38105	10
41043	10
47035	10
47185	10
48059	10
48167	10
48229	10
48275	10
48349	10
48355	10
48481	10
48489	10
48495	10
49001	10
49003	10
49055	10
49057	10
54043	10
55111	10
56015	10
56025	10
1027	9
1125	9
6017	9
6079	9
8015	9
8105	9
9001	9
13015	9
13215	9
16073	9
16077	9
17099	9
17201	9
20057	9
20193	9
21027	9
26049	9
29209	9
30039	9
31089	9
32033	9
35019	9
35041	9
36065	9
37021	9
37055	9
40075	9
40151	9
41031	9
41047	9
42039	9
42083	9
45029	9
45051	9
46007	9
46071	9
48081	9
48095	9
48131	9
48205	9
48215	9
48325	9
48503	9
49013	9
1031	8
1079	8
1089	8
1093	8
1097	8
2230	8
2240	8
4011	8
5043	8
6023	8
6053	8
8001	8
8019	8
8071	8
8099	8
12093	8
16021	8
16035	8
16067	8
17073	8
17089	8
17103	8
17161	8
17195	8
18167	8
19043	8
20115	8
20129	8
21003	8
21061	8
25009	8
28049	8
30001	8
30009	8
30035	8
30081	8
30093	8
31031	8
34009	8
35009	8
35021	8
35051	8
36013	8
36045	8
36069	8
36111	8
37059	8
39023	8
40127	8
40139	8
40153	8
41013	8
42019	8
42025	8
42133	8
45007	8
45079	8
46023	8
46055	8
47021	8
48017	8
48027	8
48039	8
48051	8
48069	8
48087	8
48141	8
48201	8
48225	8
48227	8
48243	8
48245	8
48369	8
48427	8
48437	8
49031	8
49039	8
49043	8
49051	8
51001	8
54047	8
54077	8
55017	8
56003	8
1121	7
5031	7
5061	7
5137	7
5149	7
6059	7
6081	7
8049	7
8089	7
8115	7
12001	7
12086	7
12117	7
13287	7
16001	7
16003	7
16007	7
16011	7
16013	7
16053	7
17037	7
17043	7
17151	7
17163	7
18037	7
18177	7
19057	7
19059	7
19083	7
19167	7
20207	7
21111	7
22079	7
25017	7
29053	7
29165	7
29215	7
30015	7
30041	7
30067	7
30079	7
31087	7
31109	7
32001	7
32015	7
34011	7
35023	7
35033	7
36011	7
37011	7
37047	7
37051	7
38023	7
38037	7
38057	7
38059	7
40143	7
41003	7
41017	7
45075	7
46105	7
48021	7
48023	7
48033	7
48045	7
48093	7
48101	7
48135	7
48159	7
48253	7
48295	7
48319	7
48457	7
49025	7
51117	7
51163	7
53027	7
53049	7
53059	7
54001	7
54051	7
54075	7
55005	7
55009	7
55013	7
56031	7
56035	7
56041	7
1033	6
1055	6
1059	6
1101	6
2050	6
2060	6
2110	6
2185	6
5085	6
6025	6
8097	6
8107	6
8121	6
10003	6
12031	6
12033	6
12037	6
12061	6
12073	6
13121	6
13259	6
16023	6
16029	6
16031	6
17003	6
17155	6
17197	6
18085	6
18091	6
18097	6
18157	6
20037	6
20065	6
20091	6
20161	6
20195	6
23017	6
24047	6
25021	6
26007	6
26043	6
26069	6
26087	6
26109	6
26125	6
26143	6
26161	6
27045	6
28047	6
28125	6
28151	6
29097	6
29109	6
30027	6
30033	6
30059	6
30101	6
31029	6
31045	6
31055	6
33013	6
34003	6
35029	6
36019	6
36025	6
36033	6
36091	6
36119	6
37031	6
37039	6
37083	6
37129	6
38053	6
39031	6
39111	6
39141	6
40009	6
40103	6
40113	6
41011	6
41057	6
41061	6
42011	6
42071	6
46019	6
46047	6
46069	6
46093	6
46121	6
47015	6
47025	6
47155	6
48031	6
48035	6
48049	6
48075	6
48083	6
48179	6
48249	6
48291	6
48441	6
48477	6
48483	6
49011	6
49029	6
50015	6
50027	6
51089	6
51800	6
53051	6
53061	6
53075	6
54061	6
55019	6
55029	6
55075	6
55085	6
55123	6
55133	6
55141	6
1005	5
1061	5
1075	5
1083	5
1109	5
1111	5
5001	5
5035	5
5053	5
5063	5
5093	5
5133	5
6055	5
6085	5
6097	5
6105	5
8003	5
8017	5
8055	5
8075	5
9009	5
9013	5
12103	5
13081	5
13191	5
15003	5
16027	5
16061	5
16071	5
16081	5
16085	5
17051	5
17085	5
17097	5
17113	5
17125	5
17127	5
17183	5
18009	5
18073	5
18159	5
19041	5
19133	5
19163	5
20031	5
20055	5
20085	5
20111	5
20173	5
21125	5
22009	5
22019	5
22033	5
24005	5
24023	5
24033	5
25007	5
25019	5
26041	5
26047	5
26077	5
26111	5
26127	5
26137	5
26159	5
27007	5
27015	5
27055	5
27141	5
28009	5
28077	5
29027	5
29043	5
30007	5
30037	5
30069	5
30097	5
30111	5
31065	5
31069	5
31101	5
31119	5
31123	5
31161	5
31165	5
32011	5
32510	5
33011	5
34001	5
36001	5
36017	5
36059	5
36063	5
36083	5
36101	5
36113	5
37017	5
37183	5
39059	5
39069	5
39095	5
39113	5
40003	5
40011	5
40045	5
40087	5
40117	5
40119	5
41015	5
41067	5
44003	5
45031	5
45037	5
45065	5
46035	5
46063	5
46129	5
47053	5
47077	5
47103	5
47105	5
