Fips,Max Temperature,Min Temperature
01129,109,45
05079,107,40
01073,81,26
06033,74,26
13305,64,20
08111,60,16
08093,60,19
08035,60,21
01059,57,25
06071,52,10
01071,52,30
05053,52,41
05019,47,4
30009,46,14
04003,46,16
08027,46,18
17035,44,10
08045,43,11
01089,43,17
01093,41,10
08043,41,10
20179,41,14
04005,39,9
04013,37,8
08001,37,8
04015,36,5
06037,36,17
05033,35,6
01099,35,9
06023,35,40
32007,34,6
02290,34,10
24047,33,7
16081,32,7
01081,32,9
01101,32,9
20101,32,24
15001,31,14
04019,31,17
22023,30,5
04009,30,12
23003,30,21
06027,29,6
33007,29,13
41045,29,19
06073,29,46
05071,28,3
16019,28,4
04001,28,5
01079,28,8
49027,28,8
04025,28,9
01095,28,10
02170,27,4
02122,27,5
08123,27,6
41025,27,14
12021,26,1
17095,26,3
04027,26,6
17009,26,6
06019,26,10
05139,25,5
08041,25,5
04007,25,6
41013,25,7
04017,25,8
13075,24,2
26033,24,2
05061,24,3
20139,24,3
08077,24,8
05083,23,4
19119,23,4
01057,23,6
01067,23,9
23025,22,3
06007,22,9
49045,22,9
06065,22,14
17131,21,3
49023,21,4
30003,21,5
48065,21,5
26071,21,6
06093,21,9
25025,21,12
06029,21,14
06107,21,14
12107,20,1
35057,20,2
48043,20,4
04021,20,5
20181,20,5
01027,20,9
05015,20,9
35006,20,13
16071,20,17
32031,19,1
31037,19,2
01063,19,5
02261,19,5
17113,19,5
49049,19,5
16013,19,6
35003,19,7
30049,19,8
36001,19,9
05007,19,11
56037,19,0
17059,18,1
08017,18,2
17027,18,2
01019,18,3
05137,18,3
35053,18,4
18003,18,5
35039,18,6
22115,18,7
25005,18,8
05113,18,19
02164,17,1
48157,17,1
02020,17,2
20177,17,2
30075,17,2
06083,17,3
48439,17,5
32023,17,6
49047,17,6
27137,17,7
49035,17,7
30013,17,8
13159,17,9
23019,17,9
53073,17,9
13301,17,10
01109,17,15
15009,17,25
23031,16,1
36089,16,1
30087,16,2
09003,16,3
17019,16,4
41033,16,5
05107,16,6
35023,16,6
49005,16,6
20003,16,7
19059,16,10
33015,16,0
19197,15,1
21043,15,1
05145,15,2
08085,15,2
27113,15,2
29215,15,2
06059,15,3
08067,15,3
35037,15,3
08101,15,5
18035,15,5
17089,15,6
17125,15,8
35049,15,8
01013,15,9
35031,15,10
41035,15,10
12031,15,11
12003,15,14
20129,15,0
48431,15,0
10001,14,1
12015,14,1
13139,14,1
29165,14,1
06047,14,2
17071,14,2
41059,14,2
01117,14,3
12086,14,3
17159,14,3
01113,14,4
16059,14,4
35015,14,4
56043,14,4
05127,14,5
12047,14,5
22059,14,5
35005,14,5
26103,14,7
06089,14,8
01069,14,0
24001,14,0
08113,13,1
17053,13,1
19149,13,1
48451,13,1
05133,13,2
08051,13,2
08117,13,2
35061,13,2
39173,13,2
01031,13,3
20051,13,3
35009,13,3
48279,13,3
49015,13,3
56017,13,3
16049,13,4
25009,13,4
31109,13,4
40007,13,4
56021,13,4
06067,13,5
21037,13,5
38105,13,5
01103,13,6
08081,13,6
12115,13,6
19113,13,10
05009,13,11
08011,13,0
35021,13,0
01049,12,1
01115,12,1
08115,12,1
12077,12,1
30085,12,1
01005,12,2
08083,12,2
19167,12,2
42079,12,2
05099,12,3
17105,12,3
20033,12,3
48079,12,3
55079,12,3
41063,12,4
33009,12,5
41051,12,5
45045,12,5
48321,12,5
26029,12,6
31013,12,7
20071,12,0
31063,12,0
12099,11,1
20153,11,1
25001,11,1
48111,11,1
02090,11,2
08009,11,2
13169,11,2
23011,11,2
35025,11,2
37087,11,2
55113,11,2
09011,11,3
30055,11,3
35013,11,3
16083,11,4
17201,11,4
30045,11,4
48465,11,5
08049,11,6
01087,11,7
09007,11,8
53039,11,9
30029,11,10
30063,11,10
48453,11,10
01111,11,13
15003,11,13
20127,11,0
48371,11,0
48399,11,0
05119,10,1
08089,10,1
31007,10,1
48349,10,1
48495,10,1
15007,10,2
08061,10,2
12117,10,2
17069,10,2
20137,10,2
26049,10,2
35011,10,2
48059,10,2
48229,10,2
05073,10,3
08063,10,3
13019,10,3
13275,10,3
19061,10,3
48489,10,3
56015,10,3
01051,10,4
06001,10,4
12011,10,4
37119,10,4
49057,10,4
06049,10,5
13115,10,5
32027,10,5
48167,10,5
56025,10,5
48355,10,6
49003,10,6
17017,10,7
39103,10,8
48269,10,10
16085,10,12
04012,10,0
05017,10,0
08069,10,0
35055,10,0
48481,10,0
55111,10,0
01125,9,1
08015,9,1
09001,9,1
13015,9,1
13141,9,1
19151,9,1
26137,9,1
29087,9,1
37021,9,1
40151,9,1
45029,9,1
48095,9,1
05049,9,2
06079,9,2
13083,9,2
25021,9,2
30039,9,2
45051,9,2
49013,9,2
08105,9,3
16073,9,3
17047,9,3
22027,9,3
37055,9,3
48205,9,3
16077,9,4
26111,9,4
32033,9,4
35019,9,4
06091,9,5
37111,9,5
46007,9,5
06017,9,6
13309,9,6
13229,9,7
16061,9,7
05027,9,11
05125,9,0
13215,9,0
20017,9,0
21027,9,0
42083,9,0
48081,9,0
48503,9,0
01025,8,1
02110,8,1
13161,8,1
17063,8,1
